title,company,company_link,date,link,insights,description
Graduate Software Developer,Thoughtworks,,2024-03-27,https://th.linkedin.com/jobs/view/graduate-software-developer-at-thoughtworks-3873042010?position=1&pageNum=0&refId=CHnxGSMZIZEMwHDWIR7%2BqA%3D%3D&trackingId=lsR8fv9W5xYSUhv5VoxVlg%3D%3D&trk=public_jobs_jserp-result_search-card,[],"Thoughtworks Thailand will only be shortlisting Thailand citizens

Software Developers collaborate with Business and Quality Analysts, Designers, Project Managers and more to design software solutions that will create significant change for our clients. They listen thoughtfully to understand the context of a business problem and write clean and iterative code to deliver a powerful end result. By balancing strong opinions with a willingness to find the right answer, Software Developers bring integrity to technology, ensuring all voices are heard.

Our entry-level consultants jumpstart their careers with the First Year Graduate Experience: our year-long program that starts with Thoughtworks University, an immersive three-week training, plus monthly sessions dedicated to specific topics. And it's important to call out that we consider tech talent from all walks of life. Whether you're a Computer Science major with less than one year of professional experience, a coding boot camp graduate or a career changer who is working toward becoming a software developer, you have the opportunity to grow in our community of passionate technologists.

Job responsibilities


You will pair to write clean and iterative code using practices like TDD, SOLID principles, OO design and pair programming
You will use continuous delivery practices to improve software delivery speed
You will work in collaborative, product-focused teams to build innovative customer experiences and create meaningful change for a variety of clients
Learn, digest and subsequently apply the latest technology thinking from our Technology Radar to solve client problems
Tackle a variety of challenges for clients of all industries, while collaborating with new teammates from diverse backgrounds



Job Qualifications

Technical Skills


You have less than 1 year of professional experience working as a developer
You understand analysis, design, coding and OO concepts



Professional Skills


You thrive in a collaborative, flat environment that values transparency, openness, feedback and change
You have a passion for learning and sharing knowledge as well as a desire to create meaningful solutions for business problems
You're resilient in ambiguous situations and can approach challenges from multiple perspectives



Other things to know

Learning & Development

There is no one-size-fits-all career path at Thoughtworks: however you want to develop your career is entirely up to you. But we also balance autonomy with the strength of our cultivation culture. This means your career is supported by interactive tools, numerous development programs and teammates who want to help you grow. We see value in helping each other be our best and that extends to empowering our employees in their career journeys.

About Thoughtworks

Thoughtworks is a global technology consultancy that integrates strategy, design and engineering to drive digital innovation. For 30+ years, our clients have trusted our autonomous teams to build solutions that look past the obvious. Here, computer science grads come together with seasoned technologists, self-taught developers, midlife career changers and more to learn from and challenge each other. Career journeys flourish with the strength of our cultivation culture, which has won numerous awards around the world.

Join Thoughtworks and thrive. Together, our extra curiosity, innovation, passion and dedication overcomes ordinary.


Show more "
Junior Software Engineer,KASIKORN Business-Technology Group [KBTG],,2024-03-14,https://th.linkedin.com/jobs/view/junior-software-engineer-at-kasikorn-business-technology-group-kbtg-3853480584?position=2&pageNum=0&refId=CHnxGSMZIZEMwHDWIR7%2BqA%3D%3D&trackingId=6F28GwMiNEA%2B98pu7zqPJw%3D%3D&trk=public_jobs_jserp-result_search-card,[],"At KBTG, we build our own platforms as well as service external well-known clients like PTTEP, LINE, GRAB and so on with an Open Platform technology structure. We dedicate to build new financial service experiences which aim to satisfy users the most and be part of their daily life.

We are looking for Software Developer who passionates about our product, cutting edge technology and would like to make a greater impact to society. The ideal candidate is an experienced software developer, mobile developer with a solid background on specific programming.




Responsibilities:

Develop accurate and efficient programs
Maintain current knowledge of standard language, coding methods, and operations requirements
Thoroughly tests the operation of completed programs and linkage to other programs
Assists the system analyst to establish file requirements and processing specifications for automated portions of the system
Build software and deploy to UIS/SIT/UAT environment
Working alongside other engineers and developers working on different layers of the infrastructure.
Having commitment to collaborative problem solving, sophisticated design, and the creation of quality products is essential.




Qualifications:

Minimum 1 – 3 (for Junior) years of experience in Golang
Having experience in developing Golang
Knowledge of XML, Restful, JSON, Framework, SQLite and OOP Concept
Knowledge of SVN,GIT
Good attitude, problem solving and communication skill, enjoy facing new challenges
Fast learning and can work as a team
Obtained Degree in Computer Science, Computer Engineering, IT or related fields.



Work Location: KBTG Building, Changwattana, Muang Thong Thani

Show more "
Software Engineer,aCommerce,,2024-03-25,https://th.linkedin.com/jobs/view/software-engineer-at-acommerce-3870190713?position=3&pageNum=0&refId=CHnxGSMZIZEMwHDWIR7%2BqA%3D%3D&trackingId=YzQO6%2BlIlb4zDNyAXprkEA%3D%3D&trk=public_jobs_jserp-result_search-card,[],"Job Purpose

We are seeking a Software Engineer who specializes in Backend to join our growing team of technical experts where you will build and deliver our large-scale systems that helps our clients to accelerate their e-commerce business in the Southeast Asia market.

As a part of the software development team, the candidate will focus on improving the quality of the company's products, by applying industry best practices, and expanding the coverage of automated testing.

A successful candidate will develop and enhance a large-scale micro services system. Candidates should expect to work with other team members on designing and implementing core platform components. Candidates should also expect to create unit tests, automated functional tests and load tests for all micro services.

Job Scope


Design and develop software for managing order workflows and inventory related to the sale of goods on e-commerce sites and shopping channels.
Collaborate with back-end developers and web designers to improve usability.
Create quality mockups and prototypes.
Design and implement real-time API, asynchronous process, and batch processes for integrating with external systems.
Develop unit testing, automated functional testing and load testing for improving system reliability and performance.


Requirements


At least 2 years of experience working software engineering, software integration or other similar roles
Experience in at least one programming language such as Python, Java or Ruby is required.
Experience with JavaScript, CSS, jQuery, and one of the front-end frameworks is required.
Experience with SQL and/or NOSQL databases is preferred.
Experience working with Message Broker (i.e., RabbitMQ) is preferred.
Strong knowledge and background of Software Development Life Cycle activities (Design, Implementation, Code Review, Unit Testing, Debugging, and Release) with experience in agile practices strongly preferred
Strong analytical and problem skills as well as an attention to details.
Self-motivated, multitasking, pressure-tolerant, result-oriented personality with excellent English communication, interpersonal, team building and time-management skills
Awareness of the demands of building cloud-based applications required. Experience of developing and running applications in a Kubernetes ecosystem preferred
Experience with automated testing technologies like Selenium, Robot Framework, or Cucumber is a nice plus.
Show more "
Front-end Software developer 1 1,Alstom,,2024-03-20,https://th.linkedin.com/jobs/view/front-end-software-developer-1-1-at-alstom-3855199422?position=4&pageNum=0&refId=CHnxGSMZIZEMwHDWIR7%2BqA%3D%3D&trackingId=PoJvOU6D1lAICmTyoBTD3A%3D%3D&trk=public_jobs_jserp-result_search-card,[],"Req ID:449698

At Alstom, we understand transport networks and what moves people. From high-speed trains, metros, monorails, and trams, to turnkey systems, services, infrastructure, signalling and digital mobility, we offer our diverse customers the broadest portfolio in the industry. Every day, 74,000 colleagues lead the way to greener and smarter mobility worldwide, connecting cities as we reduce carbon and replace cars.

Job Purpose:

We are looking for an ambitious , Front-end Software developer .

Right now we are on an exciting journey of transforming our existing large desktop application into a web application and also expanding with new exciting products. You will be working together with around 30 other developers (in Sweden, Thailand and possibly other countries as well) in a friendly and supportive working culture. Designs are created by our UX designers, features are outlined by the product manager and executed by the Program manager in an agile environment. We belong to the company software Tools organization and our mission is to build efficient tools that will reduce the time and cost for our user´s projects. As we are in the railway business, over time you will also learn much about this domain.

Key Responsibilities:


Software Development including analysis, design, implementation and test.
Estimation of new features.
Support and maintain existing features.
Collaborate with other team members and other teams.
Design of sustainable and expandable APIs.
Follow UX designs.
Have a data driven mindset.


Qualifications:


Bachelor of Science Degree in Computer Science or other relevant education or experience.
We are searching for new team members that have one or several of the listed competencies depending on your profile (front-end, back-end or both):
Experience or knowledge in Javascript/Typescript, HTML and CSS.
Experience or knowledge in Java & Spring framework.
Experience or knowledge in or familiar with Git version control software.
Experience or knowledge in Vue.js (preferred) or Angular or React frameworks.
Experience or knowledge in Node.js.
Experience or knowledge in Azure cloud services.


Alstom is the leading company in the mobility sector, solving the most interesting challenges for tomorrow’s mobility. That’s why we value inquisitive and innovative people who are passionate about working together to reinvent mobility, making it smarter and more sustainable. Day after day, we are building an agile, inclusive and responsible culture, where a diverse group of people are offered opportunities to learn, grow and advance in their careers, with options across functions and geographic locations. Are you ready to join a truly international community of great people on a challenging journey with a tangible impact and purpose?

Equal opportunity statement:

Alstom is an equal opportunity employer committed to creating an inclusive working environment where all our employees are encouraged to reach their full potential, and individual differences are valued and respected. All qualified applicants are considered for employment without regard to race, colour, religion, gender, sexual orientation, gender identity, age, national origin, disability status, or any other characteristic protected by local law.
Show more "
Frontend Developer (Bitkub Blockchain),Bitkub,,2024-03-03,https://th.linkedin.com/jobs/view/frontend-developer-bitkub-blockchain-at-bitkub-3841453268?position=5&pageNum=0&refId=CHnxGSMZIZEMwHDWIR7%2BqA%3D%3D&trackingId=uGjWRhF8HfH9MtMAioImnA%3D%3D&trk=public_jobs_jserp-result_search-card,[],"For Candidate Privacy Policy, please follow this link below:

https://careers.bitkub.com/privacy




Bitkub Blockchain Technology Co.,Ltd assists businesses in issuing their own ICOs, from start to finish.

We also integrate blockchain technology into the client’s legacy system In order to maximize efficiency,

secure data and automate slow processes.




Job Description




Build high traffic user interfaces with JavaScript or Typescript, React and Nextjs
Cooperate with skilled developers, product managers, QA’s, and designers to ship new components and features
Communicate with backend person in order to integrate API’s with Ul
Communicate with blockchain developer in order to integrate Smart Contract with Ul
Ability to develop unit testing of code components or complete applications
Keep up-to-date with the latest standards and techniques concerning CSS, HTML5, Javascript, Typescript
Refine and implement our development standards & best practices.
Participate in design and code reviews.




Qualification

2+ years of JavaScript experience, including concepts like asynchronous programming, closures, types, and ES6. Experience with React is a bonus
2+ years of HTML/CSS experience, including concepts like layout, specificity, cross-browser compatibility, and accessibility
Familiar with the concept of responsive web design and able to create great UI that supports different devices and screen sizes
Experience in developing front-end solutions on top of high-performance and distributed backend systems.
Experience in leading the technical architecture of a frontend project
Experience mentoring junior developers.
Strong Knowledge of the software development lifecycle (version control, tooling, testing, etc.)
Understanding of SEO principles.
Experienced in software version control such as Git, Source tree, GitLab
Experience in agile methodology
Experience in Docker
Experience in CI/CD
Excellent technical and non-technical communication skills




Preferred Qualifications

Experience with React, Nextjs
Experience with unit testing frameworks such as Jest.
Experience with Blockchain technology
Experience with graphic design applications such as Figma.
Experience with source tools for building UI components such as Storybook
Passion for performance debugging and benchmarking
BS/MS in Computer Science or a related technical field




Technologies

React
NextJs
Redux
Redux-Saga
Styled-Component, Emotion, Tailwind
Css, Less
Ant-Design
Typescript
Eslint
Storybook
OpenAPI
Graphql (optional)
Show more "
Full-Stack Developer,Adecco,,2024-03-25,https://th.linkedin.com/jobs/view/full-stack-developer-at-adecco-3870186297?position=6&pageNum=0&refId=CHnxGSMZIZEMwHDWIR7%2BqA%3D%3D&trackingId=akhlf7%2Fknyiuej2QABWA%2Fw%3D%3D&trk=public_jobs_jserp-result_search-card,[],"About The Company

Our client, a leading European firm in the publishing industry, is expanding its team in Bangkok and seeking proactive Full-Stack Developers to join their Engineering - Software department. As part of this dynamic team, you'll play a crucial role in developing cloud-based solutions and contributing to the successful migration of company resources to cloud platforms.

Job Responsibilities


Develop the shared service of the Cloud system to functional flow within the company's group, reporting directly to the Chief Technology Officer (CTO) based in Germany.
Monitor and resolve user suggestions and inquiries during the development phase.
Complete ad hoc assignments as directed by the line manager.


Experience Requirements


Proficiency in NodeJS and jQuery, Experience with MongoDB or another NoSQL database, Proficient in HTML, CSS, and Git
Experience with Nunjucks or another templating engine, and Socket.io or other websocket technologies (optional)
Excellent command of English with strong communication skills


Contact Person


Bunyapa Phakdurong
bunyapa.p@adecco.com
Tel.+6621213500
Show more "
Full-Stack Developer,RMA Group Company Limited,,2024-03-22,https://th.linkedin.com/jobs/view/full-stack-developer-at-rma-group-company-limited-3866566619?position=7&pageNum=0&refId=CHnxGSMZIZEMwHDWIR7%2BqA%3D%3D&trackingId=NatfiClTEkEbD4tX4wJs9A%3D%3D&trk=public_jobs_jserp-result_search-card,[],"RMA Group, headquartered in Bangkok, Thailand, is a multi-sector group with over 8000 employees and an operational presence in 14 countries. For over 30 years, we have developed enduring partnerships to support the needs of our clients, underpinned by the core values of Innovation, Integrity and Endurance. Through its various businesses including RMA Automotive, Global Fleet Sales, Comin Asia and Express Food Group (EFG), RMA Group has established itself as the partner of choice for leading automotive, equipment, engineering services, and food brands in Southeast Asia and beyond.

Overview of the role

The Full-Stack Developer is a key member of the Digital Team, whos objective is to support RMAs businesses across Southeast Asia with initial focus on our automotive operations and special projects. This person will develop and maintain promotional webpages, mobile applications, and tools to manage online prospecting, sales, and showroom management, and connect and update web social and advertising platforms effectively (Google Ads, FB, Twitter). The position will also plan and track project deliverables, provide direction and support to the project team, and present reports to stakeholders on progress, problems, and solutions to achieve agreed and satisfied project outputs.

This is a great opportunity for a computer programmer who enjoys and is comfortable with both front and back-end coding, is customer-focused with strong communication skills. Ideally, the successful applicant will have experience working with some or most of these:


Frontend: Angular, Ionic framework, Cordova
Backend: NodeJS, Express, MySQL, Rest API
Server: AWS
Git: github
Collab: Jira
Others: Firebase, Wordpress, UI Design
Responsive web and mobile design with a good understanding of how they will be adapted for specific devices
Automotive and related software, as well as payment gateway and service integration
Knowledge of mobile app development, and experience & integration with CRM systems (Odoo, Salesforce, Zoho) is a plus



Interpersonal skills


Positive attitude, willing to try & make mistakes
Learning & Teaching Mindset
Help plan various functions of the product across various mobile and web platforms
Track project deliverables using appropriate tracking tools
Provide direction and support to project team with quality assurance and constant monitoring and reporting on progress of the project to key stakeholders



RMA Group is an equal opportunity employer, with a diverse group of colleagues globally representing different cultures, backgrounds, and beliefs. Our values of Innovation, Integrity and Endurance is embedded in what we do, and we welcome applicants who are committed to respecting diversity of thought, and in living our values on a day-to-day basis.
Show more "
Software Engineer,Ticketmaster,,2024-03-12,https://th.linkedin.com/jobs/view/software-engineer-at-ticketmaster-3834989341?position=8&pageNum=0&refId=CHnxGSMZIZEMwHDWIR7%2BqA%3D%3D&trackingId=nMHmXjoAP3gosG3RTakG9A%3D%3D&trk=public_jobs_jserp-result_search-card,[],"Job Summary

THE TEAM

The Tixcraft Engineering team plays a vital role in the development of the ticketing platform for the business in Taiwan and in APAC. This includes working closely with the local products and IT teams to execute the projects on the roadmap.

THE JOB

The Software Engineer will be working on our core ticketing platform. As a Software Engineer you will be accountable for delivering high quality, maintainable and performance End User Experience solutions. You must think not only about solving user experience and technical problems but also about the long-term maintenance software solutions. You take initiative, solve problems, and eliminate roadblocks. The programs you create help Tixcraft to be more efficient and provide a high level of service excellence so we can continue to be reliable.

What You Will Be Doing

You will be developing the platform together with the delivery team.

You will focus on building web-based software keeping in mind the main principles of performance, flexibility and scalability of the platform.

You will be actively participating in gathering and validating technical requirements for the project. You will be able to monitor logs and identify issues.

Technical Skills

WHAT YOU NEED TO KNOW (or TECHNICAL SKILLS)


PHP language (1+ year of working experience)
PHP web frameworks like Yii (MVC).
Frontend technologies like HTML, CSS (Bootstrap), JavaScript (JQuery, JQuery UI, Node.js)
Familiarity with SQL/NoSQL databases
Code versioning tools like Git.
Familiarity with XML, JSON, Rest APIs.
AWS Cloud Technology (EC2, S3, DynamoDB, ElastiCache, CloudWatch, SES, SNS)
Automated testing frameworks


Soft Skills


Project/product management
Problem-solving
Innovation and best coding practices
Interpersonal and communication skills
Upgrade skills and adapt to changes


You (behavioural Skills)


Well-developed analytical and problem-solving skills
Good judgment and decision-making skills
Excellent written and verbal communication skills to deliver information and resources to varying levels of experience with products.
Ability to communicate professionally with all levels of Management
Ability to work autonomously with little supervision.
True team player with 'can do' attitude.
Flexible approach to hours to effectively work with teams in other time zones.


LIFE AT TICKETMASTER

Founded in 2014, Tixcraft is Taiwan’s leading music ticketing platform working with some of the biggest promoters. More recently in 2019, the company joined Ticketmaster and continued the expansion in the APAC region. Tixcraft is proud to be a part of Live Nation Entertainment, the world’s largest live entertainment company.

Our vision at Ticketmaster is to connect people around the world to the live events they love. As the world’s largest ticket marketplace and the leading global provider of enterprise tools and services for the live entertainment business, we are uniquely positioned to successfully deliver on that vision.

We do it all with an intense passion for Live and an inspiring and diverse culture driven by accessible leaders, attentive managers, and enthusiastic teams. If you’re passionate about live entertainment like we are, and you want to work at a company dedicated to helping millions of fans experience it, we want to hear from you.

Our Work Is Guided By Our Values

Reliability - We understand that fans and clients rely on us to power their live event experiences, and we rely on each other to make it happen.

Teamwork - We believe individual achievement pales in comparison to the level of success that can be achieved by a team

Integrity - We are committed to the highest moral and ethical standards on behalf of the countless partners and stakeholders we represent

Belonging - We are committed to building a culture in which all people can be their authentic selves, have an equal voice and opportunities to thrive

EQUAL OPPORTUNITIES

We are passionate and committed to our people and go beyond the rhetoric of diversity and inclusion. You will be working in an inclusive environment and be encouraged to bring your whole self to work. We will do all that we can to help you successfully balance your work and homelife. As a growing business we will encourage you to develop your professional and personal aspirations, enjoy new experiences, and learn from the talented people you will be working with. It's talent that matters to us and we encourage applications from people irrespective of their gender, race, sexual orientation, religion, age, disability status or caring responsibilities.

#TMTH


Show more "
Software Engineer,Ticketmaster,,2024-03-09,https://th.linkedin.com/jobs/view/software-engineer-at-ticketmaster-3815889553?position=9&pageNum=0&refId=CHnxGSMZIZEMwHDWIR7%2BqA%3D%3D&trackingId=he3DgwIbAmcrCGamZbC6%2FQ%3D%3D&trk=public_jobs_jserp-result_search-card,[],"Job Summary

THE TEAM

The Tixcraft Engineering team plays a vital role in the development of the ticketing platform for the business in the APAC region. This includes working closely with the local products and IT teams to execute the projects on the roadmap.

THE JOB

The Software Engineer will be working on our core ticketing platform. As a Software Engineer you will be accountable for delivering high quality, maintainable and performance End User Experience solutions. You must think not only about solving user experience and technical problems but also about the long-term maintenance software solutions. You take initiative, solve problems, and eliminate roadblocks. The programs you create help Tixcraft to be more efficient and provide a high level of service excellence so we can continue to be reliable.

What You Will Be Doing

You will be developing the platform together with the delivery team.

You will focus on building web-based software keeping in mind the main principles of performance, flexibility and scalability of the platform.

You will be actively participating in gathering and validating technical requirements for the project. You will be able to monitor logs and identify issues.

Technical Skills

WHAT YOU NEED TO KNOW (or TECHNICAL SKILLS)


PHP language (1+ year of working experience)
PHP web frameworks like Yii (MVC).
Frontend technologies like HTML, CSS (Bootstrap), JavaScript (JQuery, JQuery UI, Node.js)
Familiarity with SQL/NoSQL databases
Code versioning tools like Git.
Familiarity with XML, JSON, Rest APIs.
AWS Cloud Technology (EC2, S3, DynamoDB, ElastiCache, CloudWatch, SES, SNS)
Automated testing frameworks


Soft Skills


Project/product management
Problem-solving
Innovation and best coding practices
Interpersonal and communication skills
Upgrade skills and adapt to changes


You (behavioural Skills)


Well-developed analytical and problem-solving skills
Good judgment and decision-making skills
Excellent written and verbal communication skills to deliver information and resources to varying levels of experience with products.
Ability to communicate professionally with all levels of Management
Ability to work autonomously with little supervision.
True team player with 'can do' attitude.
Flexible approach to hours to effectively work with teams in other time zones.


LIFE AT TICKETMASTER

Founded in 2014, Tixcraft is Taiwan’s leading music ticketing platform working with some of the biggest promoters in Taiwan and Singa. More recently in 2019, the company joined Ticketmaster and continued the expansion in the APAC region. Tixcraft is proud to be a part of Live Nation Entertainment, the world’s largest live entertainment company.

Our vision at Ticketmaster is to connect people around the world to the live events they love. As the world’s largest ticket marketplace and the leading global provider of enterprise tools and services for the live entertainment business, we are uniquely positioned to successfully deliver on that vision.

We do it all with an intense passion for Live and an inspiring and diverse culture driven by accessible leaders, attentive managers, and enthusiastic teams. If you’re passionate about live entertainment like we are, and you want to work at a company dedicated to helping millions of fans experience it, we want to hear from you.

Our Work Is Guided By Our Values

Reliability - We understand that fans and clients rely on us to power their live event experiences, and we rely on each other to make it happen.

Teamwork - We believe individual achievement pales in comparison to the level of success that can be achieved by a team

Integrity - We are committed to the highest moral and ethical standards on behalf of the countless partners and stakeholders we represent

Belonging - We are committed to building a culture in which all people can be their authentic selves, have an equal voice and opportunities to thrive

EQUAL OPPORTUNITIES

We are passionate and committed to our people and go beyond the rhetoric of diversity and inclusion. You will be working in an inclusive environment and be encouraged to bring your whole self to work. We will do all that we can to help you successfully balance your work and homelife. As a growing business we will encourage you to develop your professional and personal aspirations, enjoy new experiences, and learn from the talented people you will be working with. It's talent that matters to us and we encourage applications from people irrespective of their gender, race, sexual orientation, religion, age, disability status or caring responsibilities.

#TM-TH


Show more "
Junior Software Engineer,Beam Mobility,,2024-03-14,https://th.linkedin.com/jobs/view/junior-software-engineer-at-beam-mobility-3852791042?position=10&pageNum=0&refId=CHnxGSMZIZEMwHDWIR7%2BqA%3D%3D&trackingId=0Xr9MhIqwXgz3WKmXQg2Xg%3D%3D&trk=public_jobs_jserp-result_search-card,[],"- Design, implement, and manage our Operation system

- Develop and maintain infrastructure as code using Terraform

- Operate the GitOps pipelines using ArgoCD.

- Collaborate with product owner to prioritize the work and maximize the impact

- Troubleshoot and resolve product issues

- Implement monitoring and alerting solutions to ensure system reliability and performance



Requirements



- Strong proficiency in one of the following programming languages, Kotlin/Java/Golang

- Experience implementing scalable and highly available backend system

- Familiarity with microservices architecture and distributed systems

- Strong problem-solving and troubleshooting skills

- Excellent communication and collaboration abilities



Benefits


Opportunity to make an impact to the world by transforming urban transportation.
Be part of a hyper-growth organization with plenty of opportunities to springboard your career.
Flexible and autonomous working environment with highly motivated and competent colleagues.

The Beam Group of Companies is an equal employment opportunity (EEO) organization. We are dedicated to providing an inclusive and diverse working environment where all are welcome regardless of race, language, religion, gender, nationality, age, disability or other divisive categorizations.

By submitting an application and/or confirming your candidacy, you acknowledge that you have read the Privacy Policy and consent to the Beam Group of Companies processing your data in accordance with the Privacy Policy. Please contact us if you change your mind at any time in relation to the consent you have provided.

Show more "
